Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Luxembourg,LUX,42304.0,43777.0,47209.0,47639.0,51932.0,38716.0,38937.0,43021.0,44059.0,47215.0,48569.0,48255.0,48289.0,51824.0,51938.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Macao SAR, China",MAC,23572.0,25154.0,25016.0,19009.0,14258.0,13411.0,14368.0,15890.0,17859.0,20158.0,21472.0,23574.0,22924.0,24411.0,28685.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Madagascar,MDG,17911.0,14142.0,37310.0,11861.0,9566.0,11714.0,12332.7272727273,13267.0,9451.0,10385.0,8852.0,7230.0,7650.0,10170.0,10600.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Malawi,MWI,5446.0,5528.0,5888.0,4416.0,4376.0,3340.39012345679,3172.0,3201.16692164608,1644.0,1644.0,1687.0,1818.0,2327.0,2327.0,1354.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Malaysia,MYS,176152.0,163665.0,185052.0,176549.0,182002.0,302185.222466875,336401.0,343382.0,430334.457756879,443318.55,463740.0,447001.0,473610.67,474940.0,498878.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Maldives,MDV,4520.0,5108.0,5006.0,5006.0,4971.0,,,,,26849.0,31472.0,33006.0,33904.0,26678.0,27199.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mali,MLI,,,,,,4656.0,5580.0,2753.0,360.0,0.0,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Malta,MLT,14768.0,15359.0,16895.0,17334.0,18362.0,16828.0,14891.0,13845.0,14257.0,14022.0,13639.0,12305.0,12799.0,20903.0,19412.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Marshall Islands,MHL,3083.0,3573.0,3508.0,3510.0,3480.0,,,,,,,,2218.0,2244.0,1967.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mauritania,MRT,1720.0,1725.0,1833.0,1159.0,1114.0,6373.0,4235.0,3077.0,3984.0,4044.0,4277.0,4307.0,5331.0,4910.0,5566.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mauritius,MUS,14743.0,13692.0,12090.0,11742.0,11144.0,11750.0,12353.0,12258.0,12079.0,12131.0,12646.0,13614.0,14842.0,14940.0,14937.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mexico,MEX,331225.0,317856.0,309633.0,266244.0,222356.0,445796.033023162,386063.994109534,415279.822989187,435792.09,457921.907,508614.0,555984.0,567921.0,583408.0,605632.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Moldova,MDA,4392.0,4248.0,4654.0,4933.0,5047.0,6571.0,7147.0,6560.0,7500.0,8400.0,8739.0,9625.0,14116.0,13590.0,11899.0,
